Input	Output
cgrz around right thrice after tece around left	I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_CGRZ
tyuv right twice and uajp around left twice	I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP
lfka around left twice and lfka left	I_TURN_LEFT I_LFKA I_TURN_LEFT I_LFKA I_TURN_LEFT I_LFKA I_TURN_LEFT I_LFKA I_TURN_LEFT I_LFKA I_TURN_LEFT I_LFKA I_TURN_LEFT I_LFKA I_TURN_LEFT I_LFKA I_TURN_LEFT I_LFKA
vzoe around left twice after turn opposite right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE
knfs right thrice after turn around right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_KNFS I_TURN_RIGHT I_KNFS I_TURN_RIGHT I_KNFS
zbxv opposite right after turn around right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_ZBXV
reqk left thrice after turn right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK
garz around left after garz around left thrice	I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ
cgrz opposite left thrice after tece left thrice	I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TURN_LEFT I_CGRZ I_TURN_LEFT I_TURN_LEFT I_CGRZ I_TURN_LEFT I_TURN_LEFT I_CGRZ
turn around right thrice and equr opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_EQUR I_TURN_RIGHT I_TURN_RIGHT I_EQUR
zsvr opposite right and xrym left twice	I_TURN_RIGHT I_TURN_RIGHT I_ZSVR I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM
turn opposite left after gmha around left thrice	I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_TURN_LEFT
turn around left thrice and turn around left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
eguy thrice after fdjx around left thrice	I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_EGUY I_EGUY I_EGUY
zsvr around right thrice and xrym around left	I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM
turn around right twice and eegp opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_TURN_RIGHT I_EEGP
diag twice and wdqg left twice	I_DIAG I_DIAG I_TURN_LEFT I_WDQG I_TURN_LEFT I_WDQG
lfka around left after turn around right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_LFKA I_TURN_LEFT I_LFKA I_TURN_LEFT I_LFKA I_TURN_LEFT I_LFKA
zwjm around right thrice and zwjm opposite right twice	I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_TURN_RIGHT I_ZWJM
turn opposite left after gyjs opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_GYJS I_TURN_RIGHT I_TURN_RIGHT I_GYJS I_TURN_LEFT I_TURN_LEFT
izcb opposite right after turn right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_IZCB
jpxb around right twice and diag opposite right	I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_TURN_RIGHT I_DIAG
turn opposite right after asap right thrice	I_TURN_RIGHT I_ASAP I_TURN_RIGHT I_ASAP I_TURN_RIGHT I_ASAP I_TURN_RIGHT I_TURN_RIGHT
eegp	I_EEGP
turn opposite left and ylhw twice	I_TURN_LEFT I_TURN_LEFT I_YLHW I_YLHW
zsvr around left twice after turn opposite left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR
boch around right and boch opposite right thrice	I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_TURN_RIGHT I_BOCH
xkhp opposite left twice and turn left	I_TURN_LEFT I_TURN_LEFT I_XKHP I_TURN_LEFT I_TURN_LEFT I_XKHP I_TURN_LEFT
fkes opposite right after aowu around left thrice	I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_RIGHT I_TURN_RIGHT I_FKES
dpnk around right after yqvi around left thrice	I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK
turn opposite right after turn opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn right twice after kbcp left twice	I_TURN_LEFT I_KBCP I_TURN_LEFT I_KBCP I_TURN_RIGHT I_TURN_RIGHT
qlcv around right twice after dpnk around left	I_TURN_LEFT I_DPNK I_TURN_LEFT I_DPNK I_TURN_LEFT I_DPNK I_TURN_LEFT I_DPNK I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV
turn right twice after mxay around left twice	I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_RIGHT I_TURN_RIGHT
lwmo opposite left and lwmo	I_TURN_LEFT I_TURN_LEFT I_LWMO I_LWMO
qlcv left twice and turn opposite right	I_TURN_LEFT I_QLCV I_TURN_LEFT I_QLCV I_TURN_RIGHT I_TURN_RIGHT
turn around right and bpwa around right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_BPWA I_TURN_RIGHT I_BPWA I_TURN_RIGHT I_BPWA I_TURN_RIGHT I_BPWA
rqli opposite left after turn opposite right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_RQLI
abiu opposite right and asap around left thrice	I_TURN_RIGHT I_TURN_RIGHT I_ABIU I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP
jmbc after turn around right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_JMBC
gyjs opposite right twice and gyjs opposite left thrice	I_TURN_RIGHT I_TURN_RIGHT I_GYJS I_TURN_RIGHT I_TURN_RIGHT I_GYJS I_TURN_LEFT I_TURN_LEFT I_GYJS I_TURN_LEFT I_TURN_LEFT I_GYJS I_TURN_LEFT I_TURN_LEFT I_GYJS
ulus opposite right thrice and vzoe left	I_TURN_RIGHT I_TURN_RIGHT I_ULUS I_TURN_RIGHT I_TURN_RIGHT I_ULUS I_TURN_RIGHT I_TURN_RIGHT I_ULUS I_TURN_LEFT I_VZOE
turn around left thrice and iasi right	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_IASI
icho around right twice after ybgz opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_YBGZ I_TURN_RIGHT I_TURN_RIGHT I_YBGZ I_TURN_RIGHT I_TURN_RIGHT I_YBGZ I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO
wpkt left thrice after wpkt opposite left	I_TURN_LEFT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT
vbcx around left after turn opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX
ufnu thrice and ufnu around right twice	I_UFNU I_UFNU I_UFNU I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_UFNU
fdjx around right after vbcx around right	I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_FDJX I_TURN_RIGHT I_FDJX I_TURN_RIGHT I_FDJX I_TURN_RIGHT I_FDJX
turn opposite right	I_TURN_RIGHT I_TURN_RIGHT
ulus left and vzoe opposite right	I_TURN_LEFT I_ULUS I_TURN_RIGHT I_TURN_RIGHT I_VZOE
turn opposite right twice and jmbc opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_JMBC I_TURN_RIGHT I_TURN_RIGHT I_JMBC
zwjm opposite left twice and zwjm around left thrice	I_TURN_LEFT I_TURN_LEFT I_ZWJM I_TURN_LEFT I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM
walk left after turn left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_WALK
yjft around left twice after yjft left	I_TURN_LEFT I_YJFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_YJFT
idej opposite right thrice and idej opposite right	I_TURN_RIGHT I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_TURN_RIGHT I_IDEJ I_TURN_RIGHT I_TURN_RIGHT I_IDEJ
jjep around left after jjep around left thrice	I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP
rqli opposite right thrice after qlcv around right	I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_TURN_RIGHT I_RQLI I_TURN_RIGHT I_TURN_RIGHT I_RQLI I_TURN_RIGHT I_TURN_RIGHT I_RQLI
turn left twice and run opposite right	I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT I_RUN
dpjs after turn opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_DPJS
turn around left twice and turn right thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn left twice and uajp opposite right thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT I_UAJP I_TURN_RIGHT I_TURN_RIGHT I_UAJP I_TURN_RIGHT I_TURN_RIGHT I_UAJP
hfro left and turn around left thrice	I_TURN_LEFT I_HFRO I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
tyuv right thrice and uajp around left thrice	I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP I_TURN_LEFT I_UAJP
turn opposite left and wdqg twice	I_TURN_LEFT I_TURN_LEFT I_WDQG I_WDQG
nvnj around left twice and nvnj around left thrice	I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ
turn around right after qnsr around right twice	I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
lwmo thrice and turn left twice	I_LWMO I_LWMO I_LWMO I_TURN_LEFT I_TURN_LEFT
tece twice and tece around right twice	I_TECE I_TECE I_TURN_RIGHT I_TECE I_TURN_RIGHT I_TECE I_TURN_RIGHT I_TECE I_TURN_RIGHT I_TECE I_TURN_RIGHT I_TECE I_TURN_RIGHT I_TECE I_TURN_RIGHT I_TECE I_TURN_RIGHT I_TECE
hfro opposite left and hfro	I_TURN_LEFT I_TURN_LEFT I_HFRO I_HFRO
turn opposite right twice and wdqg right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_WDQG
turn around right after lfka opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_LFKA I_TURN_RIGHT I_TURN_RIGHT I_LFKA I_TURN_RIGHT I_TURN_RIGHT I_LFKA I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn opposite right and lwmo opposite left thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_LWMO I_TURN_LEFT I_TURN_LEFT I_LWMO I_TURN_LEFT I_TURN_LEFT I_LWMO
turn opposite right after knfs	I_KNFS I_TURN_RIGHT I_TURN_RIGHT
rksp around left twice and mlle right thrice	I_TURN_LEFT I_RKSP I_TURN_LEFT I_RKSP I_TURN_LEFT I_RKSP I_TURN_LEFT I_RKSP I_TURN_LEFT I_RKSP I_TURN_LEFT I_RKSP I_TURN_LEFT I_RKSP I_TURN_LEFT I_RKSP I_TURN_RIGHT I_MLLE I_TURN_RIGHT I_MLLE I_TURN_RIGHT I_MLLE
rksp thrice and mlle opposite right twice	I_RKSP I_RKSP I_RKSP I_TURN_RIGHT I_TURN_RIGHT I_MLLE I_TURN_RIGHT I_TURN_RIGHT I_MLLE
cgbo twice after cgbo right thrice	I_TURN_RIGHT I_CGBO I_TURN_RIGHT I_CGBO I_TURN_RIGHT I_CGBO I_CGBO I_CGBO
lfka	I_LFKA
icho around left thrice and turn right twice	I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_RIGHT I_TURN_RIGHT
turn opposite right thrice after coaf around left twice	I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
txpe around left after turn opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE
turn left after ohlm opposite right	I_TURN_RIGHT I_TURN_RIGHT I_OHLM I_TURN_LEFT
fdjx twice after fdjx around right thrice	I_TURN_RIGHT I_FDJX I_TURN_RIGHT I_FDJX I_TURN_RIGHT I_FDJX I_TURN_RIGHT I_FDJX I_TURN_RIGHT I_FDJX I_TURN_RIGHT I_FDJX I_TURN_RIGHT I_FDJX I_TURN_RIGHT I_FDJX I_TURN_RIGHT I_FDJX I_TURN_RIGHT I_FDJX I_TURN_RIGHT I_FDJX I_TURN_RIGHT I_FDJX I_FDJX I_FDJX
zsvr around left thrice after xrym left thrice	I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR
turn opposite right twice after tece around left	I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
volb opposite left after volb right	I_TURN_RIGHT I_VOLB I_TURN_LEFT I_TURN_LEFT I_VOLB
mlle around left twice after turn left	I_TURN_LEFT I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE
dpjs opposite left thrice after turn right	I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_DPJS I_TURN_LEFT I_TURN_LEFT I_DPJS I_TURN_LEFT I_TURN_LEFT I_DPJS
bpwa around left twice after dpan opposite left twice	I_TURN_LEFT I_TURN_LEFT I_DPAN I_TURN_LEFT I_TURN_LEFT I_DPAN I_TURN_LEFT I_BPWA I_TURN_LEFT I_BPWA I_TURN_LEFT I_BPWA I_TURN_LEFT I_BPWA I_TURN_LEFT I_BPWA I_TURN_LEFT I_BPWA I_TURN_LEFT I_BPWA I_TURN_LEFT I_BPWA
turn right thrice after gmha around left	I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
dlmc around left thrice after turn around left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC
jmbc around right twice and jpxb opposite right	I_TURN_RIGHT I_JMBC I_TURN_RIGHT I_JMBC I_TURN_RIGHT I_JMBC I_TURN_RIGHT I_JMBC I_TURN_RIGHT I_JMBC I_TURN_RIGHT I_JMBC I_TURN_RIGHT I_JMBC I_TURN_RIGHT I_JMBC I_TURN_RIGHT I_TURN_RIGHT I_JPXB
eegp around right thrice and turn around left thrice	I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
hutm left twice after hutm opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_HUTM I_TURN_RIGHT I_TURN_RIGHT I_HUTM I_TURN_RIGHT I_TURN_RIGHT I_HUTM I_TURN_LEFT I_HUTM I_TURN_LEFT I_HUTM
